Date,chirps_per_min,temp_C
21-Aug,176.0,26.944
21-Aug,185.6,25.833
21-Aug,174.4,25.556
24-Aug,140.0,23.056
24-Aug,140.0,21.389
24-Aug,130.4,20.0
24-Aug,115.6,18.889
24-Aug,110.8,18.333
25-Aug,102.0,16.389
25-Aug,81.5,13.889
25-Aug,50.0,12.778
25-Aug,148.0,24.583
25-Aug,150.0,23.333
25-Aug,146.0,23.333
25-Aug,144.8,22.5
26-Aug,132.0,18.889
26-Aug,172.0,25.278
26-Aug,184.0,25.833
27-Aug,116.0,20.278
27-Aug,126.8,20.278
27-Aug,124.0,20.0
27-Aug,115.0,18.889
28-Aug,94.0,15.0
28-Aug,129.6,21.111
28-Aug,124.0,20.556
28-Aug,118.0,19.444
29-Aug,90.0,16.25
29-Aug,82.4,14.722
29-Aug,140.0,22.222
29-Aug,132.4,21.667
29-Aug,126.0,20.556
29-Aug,115.2,19.167
30-Aug,85.2,15.556
30-Aug,151.2,23.889
30-Aug,148.0,22.917
30-Aug,148.4,22.5
1-Sep,144.8,21.111
2-Sep,125.6,19.722
2-Sep,120.8,18.889
4-Sep,125.2,20.556
4-Sep,104.4,17.222
5-Sep,100.8,17.222
6-Sep,94.64,16.111
7-Sep,89.0,16.667
7-Sep,70.0,13.611
9-Sep,62.0,12.778
9-Sep,59.0,11.111
10-Sep,60.0,11.667
10-Sep,56.0,10.0
11-Sep,74.0,11.111
16-Sep,110.8,18.333
17-Sep,104.0,17.222
18-Sep,86.8,15.0
19-Sep,50.0,10.417
19-Sep,50.0,9.5833
